"Raw Data File",cells,"tracer molecule","labelled positions",abundance,"Parameter Value[injection]","Parameter Value[Replicate]","Factor Value[Incubation time]","Metabolite name","CHEBI identifier","atomic positions to the parent molecule/metabolite name","Empirical formula derivatized molecule/fragment",retention(min),"m/z monitored","signal intensity",isotopologue,"isotologue abundance relative concentration"
RibHyp2_01.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,1,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,261,0.003,Rib_13C5,
RibHyp2_01.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,1,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,262,0.001,,
RibHyp2_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,255,0,,
RibHyp2_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,256,0.723,Rib_13C0,
RibHyp2_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,257,0.132,Rib_13C1,
RibHyp2_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,258,0.088,Rib_13C2,
RibHyp2_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,259,0.028,Rib_13C3,
RibHyp2_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,260,0.026,Rib_13C4,
RibHyp2_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,261,0.003,Rib_13C5,
RibHyp2_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,262,0.001,,
RibHyp2_03.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,3,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,255,0,,
RibHyp2_03.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,3,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,256,0.723,Rib_13C0,
RibHyp2_03.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,3,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,257,0.133,Rib_13C1,
RibHyp2_03.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,3,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,258,0.088,Rib_13C2,
RibHyp2_03.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,3,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,259,0.028,Rib_13C3,
RibHyp2_03.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,3,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,260,0.026,Rib_13C4,
RibHyp2_03.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,3,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,261,0.002,Rib_13C5,
